Project Name,Package Name,Type Name,Code Smell
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q1,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q2,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Criteria,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Criteria,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Field,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldInteger,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldLong,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldShort,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldBigDecimal,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldBigDecimal,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.criteria,FieldString,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.criteria,QEH,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.dao,Delete,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,DeleteForExample,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,Insert,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,Select,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,Select,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.dao,$SelectForExample,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,Update,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dao,UpdateForExample,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.datasource,C3p0DataSource,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.datasource,ConfigClass,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DataSourceManager,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,Hub-like Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,Host,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.datasource,Host,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DSI,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DbProp,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DbProp,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DruidDataSource,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.datasource,SimpleDataSource,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,Deficient Encapsulation
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,Cyclic-Dependent Modularization
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,Insufficient Modularization
monalisa-orm,com.tsc9526.monalisa.orm.dialect,MysqlDialect,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dialect,OracleDialect,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dialect,PostgresDialect,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.dialect,SQLServerDialect,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,BatchSqlExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,BatchSqlExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,BatchStatementExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,BatchStatementExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,CacheableExecute,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,CacheableResultExecutor,Unutilized Abstraction
monalisa-orm,com.tsc9526.monalisa.orm.executor,CacheableResultExecutor,Broken Hierarchy
monalisa-orm,com.tsc9526.monalisa.orm.executor,CacheableResultLoadExecutor,Unutilized Abstraction
