Project Name,Package Name,Type Name,Method Name,Code Smell
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,findOne,Magic Number
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,findOne,Magic Number
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,findOne,Magic Number
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,findOne,Magic Number
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,findOne,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Long Statement
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,Magic Number
monalisa-orm,com.tsc9526.monalisa.main,MSWriteMain,writeToJava,Complex Method
monalisa-orm,com.tsc9526.monalisa.main,MSWriteMain,writeToJava,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Field,getValues,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Field,getValues,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.criteria,QEH,getQuery,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dao,Insert,insert,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DataSourceManager,getDialect,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,getDataSource,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,select,Long Parameter List
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,selectPage,Long Parameter List
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,init,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,loadProperties,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,loadProperties,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,loadCfgFromFile,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,findCfgBasePath,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,findCfgBasePath,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,isCfgFileChanged,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DBConfig,getCache,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,init,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,loadProperties,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,loadProperties,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,loadCfgFromFile,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,findCfgBasePath,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,findCfgBasePath,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,isCfgFileChanged,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.datasource,CFG,getCache,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.datasource,DruidDataSource,setIdleValidationQuery,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.datasource,SimpleDataSource,SimpleDataSource,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.datasource,SimpleDataSource,SimpleDataSource,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.datasource,SimpleDataSource,SimpleDataSource,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.datasource,SimpleDataSource,initConnections,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,getCountSql,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,getCountSql,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,createUpdateQuery,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,select,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,inOrNotIn,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,getValue,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,getRealname,Complex Conditional
monalisa-orm,com.tsc9526.monalisa.orm.dialect,Dialect,getRealname,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.dialect,MysqlDialect,insertOrUpdate,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,MysqlDialect,setupHistoryTable,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,OracleDialect,getLimitSql,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.dialect,OracleDialect,getLimitSql,Magic Number
monalisa-orm,com.tsc9526.monalisa.orm.dialect,OracleDialect,insertOrUpdate,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,PostgresDialect,insertOrUpdate,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.dialect,PostgresDialect,tableExist,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.executor,HandlerResultSet,createResult,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.executor,HandlerResultSet,processMetaTable,Complex Method
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGenerator,getModelClassValue,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGenerator,generateJavaFiles,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorLocal,DBGeneratorLocal,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorProcessing,DBGeneratorProcessing,Long Statement
monalisa-orm,com.tsc9526.monalisa.orm.generator,DBGeneratorProcessing,DBGeneratorProcessing,Long Statement
