Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q1,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q2,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q1,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q2,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,findOne,3,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,findOne,3,1,0
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,main,10,2,1
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateModelClass,12,3,1
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateSqlQueryClass,12,3,0
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateModelClass,3,1,2
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateModelClass,4,1,3
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateSqlQueryClass,3,1,1
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,generateSqlQueryClass,4,1,2
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,main,8,2,1
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,MavenCleanMain,3,1,1
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,clean,12,2,0
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,scan,22,6,1
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,accept,3,1,1
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,remove,10,2,1
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,check,26,6,1
