Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles.pkg,Qx,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q1,0,0,1,1,8,1,0,0,-1.0,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q2,1,0,1,1,9,1,0,0,0.0,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,1,0,1,1,9,1,0,0,0.0,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,1,0,1,1,9,1,0,0,0.0,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,1,0,1,1,9,1,0,0,0.0,1,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q1,0,0,1,1,8,1,0,0,-1.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q2,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q3,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q4,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,test.com.tsc9526.monalisa.orm.sqlfiles,Q5,1,0,1,1,9,1,0,0,0.0,0,0
monalisa-orm,com.tsc9526.monalisa.main,DBModelGenerateMain,1,0,7,7,62,12,0,0,0.0,8,4
monalisa-orm,com.tsc9526.monalisa.main,MavenCleanMain,3,0,8,6,89,21,0,0,0.375,1,4
monalisa-orm,com.tsc9526.monalisa.main,MSWriteMain,0,0,4,4,100,17,0,0,-1.0,1,4
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Criteria,6,3,8,3,39,9,0,0,0.375,2,2
monalisa-orm,com.tsc9526.monalisa.orm.criteria,Example,1,0,5,4,24,6,0,0,0.4,8,0
